date	open	high	low	close	volume	value
1999-06-15	15130	15170	15040	15040	8392	30314
1999-06-16	14800	14810	14670	14670	12718	28368
1999-06-17	14670	14760	14620	14760	6388	27960
1999-06-18	14780	14800	14740	14790	2628	27916
1999-06-21	15050	15150	14990	15030	8612	25342
1999-06-22	15150	15180	15010	15040	4560	24352
1999-06-23	15100	15100	14950	14960	4804	24062
1999-06-24	14990	15010	14830	14860	3608	23652
1999-06-25	15150	15260	15020	15210	10626	19776
1999-06-28	15400	15400	15200	15330	4674	18698
1999-06-29	15450	15460	15300	15310	5592	17674
1999-06-30	15450	15470	15310	15320	5326	17428
1999-07-01	15820	15830	15820	15830	152	17336
1999-07-02	16000	16110	15820	15820	7216	15652
1999-07-05	15980	15980	15860	15890	3126	15044
1999-07-06	15790	15820	15760	15770	1362	14676
1999-07-07	15800	15800	15720	15760	1380	14892
1999-07-08	16170	16240	16100	16240	4590	14272
1999-07-09	16100	16100	15940	15980	2804	13742
1999-07-12	15960	16000	15940	15980	1184	13290
1999-07-13	15970	16160	15970	16150	1710	12714
1999-07-14	15900	15970	15890	15930	866	12512
1999-07-15	16200	16260	16150	16160	5490	24754
1999-07-16	16200	16220	16090	16110	4730	24298
1999-07-19	16200	16220	16110	16160	2856	23564
1999-07-20	16050	16110	16040	16050	2494	23844
1999-07-21	15900	15920	15780	15780	5210	22408
1999-07-22	15510	15650	15510	15630	4656	21462
1999-07-23	15730	15730	15650	15680	1760	21256
1999-07-26	15600	15750	15580	15740	1928	20594
1999-07-27	15900	16050	15810	16050	3770	20054
1999-07-28	16100	16160	16060	16110	5450	18892
1999-07-29	16010	16060	16000	16040	1504	18494
1999-07-30	15930	15940	15840	15860	2448	18154
1999-08-02	16100	16280	16050	16110	2958	17360
1999-08-03	16020	16070	16010	16060	1598	16680
1999-08-04	16100	16120	16070	16070	1900	16184
1999-08-05	16140	16310	16140	16300	4170	15778
1999-08-06	16500	16590	16500	16580	4004	14744
1999-08-09	16550	16600	16480	16600	2062	14488
1999-08-10	16600	16640	16550	16590	1876	14418
1999-08-11	16430	16460	16380	16380	1506	14458
1999-08-12	16480	16670	16480	16670	1506	14458
1999-08-13	16600	16600	16380	16410	2706	14262
1999-08-16	16790	16830	16620	16620	11854	38696
1999-08-17	16680	16680	16540	16540	7046	40246
1999-08-18	16410	16490	16360	16460	5636	39124
1999-08-19	16200	16290	16200	16290	8596	39388
1999-08-20	16260	16320	16260	16280	14154	34928
1999-08-23	16160	16370	16160	16370	5174	34028
1999-08-24	16330	16430	16290	16340	4634	34748
1999-08-25	16540	16670	16540	16660	7366	31956
1999-08-26	16590	16670	16560	16640	12626	29938
1999-08-27	16600	16620	16570	16590	7090	28582
1999-08-30	16700	16810	16690	16710	2384	28126
1999-08-31	16780	16850	16720	16810	6444	26912
1999-09-01	17200	17250	17150	17240	3782	26470
1999-09-02	17400	17400	17200	17200	10868	24904
1999-09-03	17330	17350	17250	17290	4228	21928
1999-09-06	17320	17470	17320	17430	2110	21750
1999-09-07	17420	17750	17420	17750	7534	19706
1999-09-08	17930	18020	17800	17840	8338	17096
1999-09-09	17910	17980	17770	17810	1788	17334
1999-09-10	18020	18020	17720	17720	5522	17966
1999-09-13	17840	17990	17840	17950	1146	18080
1999-09-14	17800	17800	17550	17580	3394	17658
1999-09-15	17630	17690	17550	17650	12794	38840
1999-09-16	18080	18100	17990	18000	16394	38372
1999-09-17	17880	17920	17780	17890	10584	37528
1999-09-20	18180	18320	18180	18240	16968	34566
1999-09-21	18110	18330	18050	18320	9558	32762
1999-09-22	18290	18360	18190	18220	8934	29962
1999-09-23	18010	18100	18000	18060	5934	28046
1999-09-24	17860	17970	17820	17950	7424	25064
1999-09-27	17810	17820	17760	17810	5606	23274
1999-09-28	17680	17930	17650	17890	2332	22606
1999-09-29	18150	18150	18060	18070	4926	20370
1999-09-30	17980	18110	17970	18060	3514	19166
1999-10-08	17910	18010	17900	17960	1238	19160
1999-10-11	17450	17450	17430	17430	322	18934
1999-10-12	17380	17440	17150	17380	5032	17654
1999-10-13	17560	17600	17420	17430	2478	16432
1999-10-14	17500	17580	17490	17520	1880	16406
1999-10-15	17680	17770	17660	17690	6596	40768
1999-10-18	17690	17830	17690	17800	6238	40852
1999-10-19	17910	18060	17910	18050	10470	39296
1999-10-20	18000	18030	17940	17970	6128	39076
1999-10-21	18250	18300	18230	18240	11722	38862
1999-10-22	18210	18270	18200	18250	3048	38008
1999-10-25	18300	18340	18220	18230	5088	36526
1999-10-26	18130	18130	17860	17870	5956	34796
1999-10-27	17840	17960	17760	17790	5598	33078
1999-10-28	17850	17950	17850	17860	2646	32480
1999-10-29	17980	18100	17970	18090	4480	31766
1999-11-01	18050	18060	18000	18050	1258	31358
1999-11-02	18000	18040	17950	18040	2074	30890
1999-11-03	18210	18270	18200	18240	4834	29052
1999-11-04	18120	18120	18060	18110	2084	28074
1999-11-05	18050	18050	17850	17870	3860	26542
1999-11-08	17860	17900	17820	17870	1062	26366
1999-11-09	17820	17910	17780	17910	1768	25564
1999-11-10	18040	18100	18000	18100	3730	23456
1999-11-11	17540	17820	17540	17680	4006	22578
1999-11-12	17640	17720	17640	17690	2666	22134
1999-11-15	17780	17880	17700	17860	14314	39672
1999-11-16	17960	18000	17920	17930	7448	38414
1999-11-17	17970	18030	17760	17760	6480	37244
1999-11-18	17800	17910	17760	17850	9862	38700
1999-11-19	17780	17820	17740	17790	4194	38342
1999-11-22	17890	17960	17880	17930	4368	38616
1999-11-23	18020	18020	17900	17910	3462	38630
1999-11-24	17900	17900	17870	17900	2330	38368
1999-11-25	17980	18090	17970	18070	7706	37118
1999-11-26	18090	18160	18080	18120	6080	36238
1999-11-29	18190	18240	18160	18170	5336	34276
1999-11-30	18120	18130	18050	18080	4122	32956
1999-12-01	18190	18200	18150	18150	3466	31914
1999-12-02	17950	17950	17850	17910	5338	29896
1999-12-03	17900	18000	17890	18000	2328	29456
1999-12-06	18200	18220	18160	18190	5454	28514
1999-12-07	18150	18170	18130	18160	1818	28082
1999-12-08	17980	18130	17980	18120	3228	28572
1999-12-09	18040	18070	18000	18030	1440	28254
1999-12-10	18080	18110	18060	18060	1358	27758
1999-12-13	17980	18010	17960	17980	1622	27222
1999-12-14	18060	18060	18000	18000	1080	27112
1999-12-15	18310	18330	18260	18260	6228	47686
1999-12-16	18600	18730	18600	18650	20348	47316
1999-12-17	18700	18700	18590	18620	11642	44694
1999-12-21	18750	18780	18670	18670	11952	44302
1999-12-22	18600	18630	18550	18630	5614	43836
1999-12-23	18680	18810	18680	18750	9090	43344
1999-12-24	18750	18750	18690	18720	7500	40746
1999-12-27	18770	18770	18720	18730	2756	39976
1999-12-28	18700	18720	18670	18680	2596	38768
1999-12-29	18690	18770	18670	18760	3604	37288
1999-12-30	18770	18820	18770	18790	6450	35314
2000-01-04	18840	18880	18810	18830	4222	34422
2000-01-05	18650	18700	18610	18610	3848	32576
2000-01-06	18750	18750	18700	18720	3146	31514
2000-01-07	18700	18760	18700	18750	1650	30706
2000-01-11	18650	18700	18640	18700	1808	30046
2000-01-12	18700	18720	18680	18690	1018	29892
2000-01-13	18900	18900	18860	18870	9322	24826
