"Index","high","low","close","bid","ask","volume"
2012-02-03 10:16:59,2493.8,2478,2489.6,2489.8,2490,42513
2012-02-03 10:17:59,2493.8,2478,2488.4,2488.2,2488.4,42485
2012-02-03 10:18:59,2493.8,2478,2488.6,2488.4,2488.6,42500
2012-02-03 10:19:59,2493.8,2478,2488.6,2488.4,2488.6,42508
2012-02-03 10:20:59,2493.8,2478,2485.4,2485.2,2485.4,42639
2012-02-03 10:21:59,2493.8,2478,2485.2,2485.2,2485.6,42413
2012-02-03 10:22:59,2493.8,2478,2486.2,2485.8,2486.2,42403
2012-02-03 10:23:59,2493.8,2478,2487,2486.8,2487,42487
2012-02-03 10:24:59,2493.8,2478,2487,2487,2487.2,42509
2012-02-03 10:25:59,2493.8,2478,2485.4,2485.2,2485.4,42569
2012-02-03 10:26:59,2493.8,2478,2486.4,2486.6,2487,42612
2012-02-03 10:27:59,2493.8,2478,2486.6,2486.6,2487,42678
2012-02-03 10:28:59,2493.8,2478,2487.4,2487.4,2487.6,42733
2012-02-03 10:29:59,2493.8,2478,2487.4,2487.2,2487.4,42783
2012-02-03 10:30:59,2493.8,2478,2489.8,2489.8,2490.2,42879
2012-02-03 10:31:59,2493.8,2478,2490.2,2490.2,2490.6,43034
2012-02-03 10:32:59,2493.8,2478,2488.8,2488.8,2489,43091
2012-02-03 10:33:59,2493.8,2478,2484,2484,2484.2,42734
2012-02-03 10:34:59,2493.8,2478,2483.4,2483.2,2483.4,42845
2012-02-03 10:35:59,2493.8,2478,2483,2482.8,2483.2,42709
2012-02-03 10:36:59,2493.8,2478,2482,2482.2,2482.4,42606
2012-02-03 10:37:59,2493.8,2478,2482,2482,2482.2,42449
2012-02-03 10:38:59,2493.8,2478,2483.2,2482.6,2483.4,42362
2012-02-03 10:39:59,2493.8,2478,2482,2481.8,2482.4,42447
2012-02-03 10:40:59,2493.8,2478,2481.6,2481.6,2481.8,42437
2012-02-03 10:41:59,2493.8,2478,2483.2,2482.8,2483.2,42359
2012-02-03 10:42:59,2493.8,2478,2482.2,2481.8,2482.2,42462
2012-02-03 10:43:59,2493.8,2478,2480.4,2480.4,2480.6,42344
2012-02-03 10:44:59,2493.8,2478,2478.6,2478.4,2479,42446
2012-02-03 10:45:59,2493.8,2474.2,2475.4,2475.2,2475.8,42281
2012-02-03 10:46:59,2493.8,2474,2475.6,2475.6,2476,42266
2012-02-03 10:47:59,2493.8,2474,2476,2476.4,2476.6,42296
2012-02-03 10:48:59,2493.8,2474,2476.8,2476.6,2476.8,42242
2012-02-03 10:49:59,2493.8,2474,2477.4,2477.4,2477.6,42212
2012-02-03 10:50:59,2493.8,2474,2478,2477.4,2478,42449
2012-02-03 10:51:59,2493.8,2474,2479,2479,2479.2,42505
2012-02-03 10:52:59,2493.8,2474,2479.6,2479.6,2479.8,42434
2012-02-03 10:53:59,2493.8,2474,2479.2,2479,2479.2,42436
2012-02-03 10:54:59,2493.8,2474,2479,2478.8,2479.2,42461
2012-02-03 10:55:59,2493.8,2474,2479.6,2479.6,2479.8,42475
2012-02-03 10:56:59,2493.8,2474,2478.6,2478.4,2478.6,42535
2012-02-03 10:57:59,2493.8,2474,2479.6,2479.4,2479.6,42594
2012-02-03 10:58:59,2493.8,2474,2479.6,2479.4,2480,42630
2012-02-03 10:59:59,2493.8,2474,2481.6,2481.4,2481.6,42658
2012-02-03 11:00:59,2493.8,2474,2480.4,2480.4,2480.6,42749
2012-02-03 11:01:59,2493.8,2474,2479.8,2479.8,2480,42686
2012-02-03 11:02:59,2493.8,2474,2479.8,2479.6,2480,42693
2012-02-03 11:03:59,2493.8,2474,2477.6,2477.4,2477.8,42689
2012-02-03 11:04:59,2493.8,2474,2478,2478,2478.2,42758
2012-02-03 11:05:59,2493.8,2474,2480.2,2480,2480.2,42777
2012-02-03 11:06:59,2493.8,2474,2479.6,2479.4,2479.6,42848
2012-02-03 11:07:59,2493.8,2474,2478.4,2478.2,2478.6,42843
2012-02-03 11:08:59,2493.8,2474,2478.6,2478.6,2479,42883
2012-02-03 11:09:59,2493.8,2474,2479.8,2479.6,2479.8,42868
2012-02-03 11:10:59,2493.8,2474,2480.8,2480.8,2481,42889
2012-02-03 11:11:59,2493.8,2474,2483.2,2483.2,2483.4,42801
2012-02-03 11:12:59,2493.8,2474,2483,2482.8,2483,42895
2012-02-03 11:13:59,2493.8,2474,2483.2,2483,2483.4,42840
2012-02-03 11:14:59,2493.8,2474,2484.6,2484.4,2484.6,42794
2012-02-03 11:15:59,2493.8,2474,2483.4,2483.4,2484,42751
2012-02-03 11:16:59,2493.8,2474,2484.4,2484.2,2484.4,42752
2012-02-03 11:17:59,2493.8,2474,2486.4,2486.4,2486.6,42634
2012-02-03 11:18:59,2493.8,2474,2485,2485,2485.4,42746
2012-02-03 11:19:59,2493.8,2474,2485.6,2485.4,2485.6,42714
2012-02-03 11:20:59,2493.8,2474,2483.8,2483.6,2484,42698
2012-02-03 11:21:59,2493.8,2474,2483.6,2483.2,2483.4,42615
2012-02-03 11:22:59,2493.8,2474,2482.4,2482.2,2482.4,42607
2012-02-03 11:23:59,2493.8,2474,2484,2484,2484.6,42656
2012-02-03 11:24:59,2493.8,2474,2486,2486,2486.2,42955
2012-02-03 11:25:59,2493.8,2474,2486.6,2486.6,2486.8,42922
2012-02-03 11:26:59,2493.8,2474,2487,2486.8,2487,42979
2012-02-03 11:27:59,2493.8,2474,2486.2,2486.2,2486.6,42888
2012-02-03 11:28:59,2493.8,2474,2486.8,2486.6,2486.8,42829
2012-02-03 11:29:59,2493.8,2474,2485.8,2485.2,2485.8,42458
2012-02-03 11:30:00,2493.8,2474,2485.8,2485.6,2485.8,42455
2012-02-03 13:00:59,2493.8,2474,2486,2486,2486.4,42588
2012-02-03 13:01:59,2493.8,2474,2484.6,2484.6,2484.8,42524
2012-02-03 13:02:59,2493.8,2474,2484.6,2484.2,2484.6,42559
2012-02-03 13:03:59,2493.8,2474,2483.8,2483.6,2483.8,42536
2012-02-03 13:04:59,2493.8,2474,2484.4,2484,2484.4,42507
2012-02-03 13:05:59,2493.8,2474,2485,2484.8,2485,42532
2012-02-03 13:06:59,2493.8,2474,2488,2487.6,2487.8,42691
2012-02-03 13:07:59,2493.8,2474,2488.4,2488.4,2488.6,42766
2012-02-03 13:08:59,2493.8,2474,2488,2487.8,2488.2,42900
